태풍번호,태풍명,최저 기압(hpa),최대풍속(10분 평균 m/s)
199112,GLADYS,965,31
199111,FRED,960,39
199110,ELLIE,960,36
199109,CAITLIN,940,41
199108,BRENDAN,980,31
199107,AMY,930,49
199106,ZEKE,970,33
199105,YUNYA,950,41
199104,WALT,915,51
199103,VANESSA,994,23
199102,TIM,970,33
199101,SHARON,985,26
199029,RUSS,915,51
199028,PAGE,910,54
199027,OWEN,925,49
199026,NELL,990,26
199025,MIKE,915,51
199024,LOLA,998,18
199023,KYLE,955,39
199022,IRA,996,18
199021,HATTIE,950,41
199020,GENE,950,41
199019,FLO,890,62
199018,ED,965,36
199017,DOT,960,39
199016,BECKY,965,36
199015,ABE,955,39
199014,ZOLA,960,39
199013,AKA,992,23
199012,YANCY,950,41
199011,WINONA,975,31
199010,VERNON,955,39
199009,TASHA,980,28
199008,STEVE,940,44
199007,ROBYN,992,23
199006,PERCY,950,41
199005,OFELIA,970,33
199004,NATHAN,980,28
199003,MARIAN,965,36
199002,LEWIS,998,18
199001,KORYN,980,28
